,,Kt1,Kt2,Kt3,Kt4,Kt5,Kt6,Kt7,Kt8,Kt9,Kt10,Kt11,Kt12,Kt13,Kt14,Kt15,,,,,,
Sr1,Ktr30,0,0.008044636,0.024599959,0.035992267,0.042952737,0.046212547,0.046502873,0.044689447,0.042176223,0.040501711,0.040790581,0.042512157,0.044721924,0.046614095,0.04793779,,,,,,
Sr1,Ktr31,0,0.022805455,0.037163678,0.044797312,0.047429004,0.046781397,0.044577137,0.042346812,0.040852781,0.040665347,0.042096861,0.044427885,0.046681027,0.048077692,0.04863446,,,,,,
Sr1,Ktr32,0.01881998,0.035094784,0.044042826,0.047450554,0.047104416,0.044790861,0.042296338,0.041065005,0.041171863,0.042349627,0.044269065,0.046353172,0.047962999,0.048627816,0.048549774,,,,,,
Sr1,Ktr33,0.035323197,0.043026441,0.046249042,0.046312494,0.044538291,0.042247928,0.040762897,0.041047093,0.042634,0.044699505,0.046531193,0.047863452,0.048542369,0.048501359,0.048023135,,,,,,
Sr1,Ktr34,0.042956721,0.045851482,0.04623377,0.045016536,0.043112727,0.041435292,0.040897181,0.042089006,0.044312035,0.046545202,0.047969718,0.048575919,0.048556418,0.048117678,0.047521548,,,,,,
Sr1,Ktr35,0.037924633,0.043641691,0.046101615,0.046294256,0.045209465,0.043837091,0.043166988,0.043884257,0.045455011,0.047040612,0.047975372,0.048285386,0.048169696,0.047818974,0.047390399,,,,,,
Sr1,Ktr36,0.027459057,0.039751776,0.046569829,0.04926994,0.049208833,0.047743231,0.046229857,0.045716694,0.046016756,0.046634318,0.047155916,0.047497141,0.047655847,0.047638821,0.047488585,,,,,,
Sr1,Ktr37,0.02154913,0.038357171,0.048008823,0.052166048,0.052490805,0.050645056,0.04829076,0.046767744,0.046127296,0.04609857,0.046423368,0.046894091,0.047315786,0.047533639,0.047553381,,,,,,
Sr1,Ktr38,0.027461314,0.042364521,0.050512078,0.053530179,0.05304502,0.050682796,0.048069704,0.046500834,0.045946872,0.046047397,0.046467285,0.046972599,0.047354694,0.047466002,0.047403247,,,,,,
Sr1,Ktr39,0.041571378,0.049605305,0.053065335,0.053210485,0.051299772,0.048592213,0.046346826,0.045507369,0.045756576,0.046461919,0.047087365,0.047482853,0.047594814,0.047423116,0.047181378,,,,,,
Sr1,Ktr40,0.057532416,0.056642209,0.054377405,0.051380258,0.048293021,0.04575795,0.044417298,0.04466075,0.045867715,0.047165032,0.047860844,0.047988501,0.047762653,0.047398341,0.047112151,,,,,,
Sr1,Ktr41,0.069335462,0.06049374,0.053573675,0.048488497,0.04515144,0.043475735,0.043374614,0.04462366,0.046447857,0.04793454,0.048409185,0.048149832,0.04767266,0.04739412,0.047331745,,,,,,
Sr1,Ktr42,0.072323297,0.060001687,0.051445848,0.04608705,0.043356558,0.04268564,0.043505563,0.045215922,0.047089616,0.048367873,0.048530761,0.048013725,0.047491047,0.047449218,0.047623541,,,,,,
Sr1,Ktr43,0.062176638,0.054463656,0.049202208,0.04600347,0.044478616,0.044238819,0.044895255,0.046046641,0.047241867,0.048017368,0.048068174,0.047723703,0.04747197,0.047611484,0.047682724,,,,,,
Sr1,Ktr44,0.039873898,0.044987809,0.047810441,0.048893453,0.048788506,0.048047259,0.047221372,0.046753093,0.046647034,0.046798395,0.047101847,0.047449935,0.047734676,0.047781875,0.047152497,,,,,,
Sr1,Ktr45,0.027584262,0.039924519,0.047275848,0.050725248,0.05135972,0.050266262,0.048531874,0.047085234,0.046221736,0.046078453,0.046663501,0.047469168,0.047858782,0.047273794,0.045468143,,,,,,
Sr1,Ktr46,0.05277461,0.049434711,0.047363135,0.046295242,0.045966397,0.04611196,0.046467294,0.046821189,0.047176139,0.04758807,0.048022682,0.048084793,0.047288999,0.045253755,0.042012965,,,,,,
Sr1,Ktr47,0.128363162,0.077955611,0.047520428,0.03278458,0.029475031,0.033318751,0.040042704,0.046017497,0.05018829,0.05214388,0.051655726,0.049225927,0.045539241,0.041205386,0.036533917,,,,,,
Sr1,Ktr48,0.209073498,0.107029643,0.045929543,0.016913431,0.011121537,0.019694093,0.033771332,0.045844354,0.053807739,0.056906933,0.05486614,0.049324582,0.042400239,0.035880768,0.030232545,,,,,,
Sr1,Ktr49,0.235080539,0.112475529,0.040455715,0.007786723,0.00323418,0.015563712,0.033540946,0.047750369,0.056051916,0.058124384,0.054164223,0.046438498,0.037731927,0.030349096,0.024674048,,,,,,
Sr1,Ktr50,0.169276575,0.079809002,0.030427441,0.01157974,0.013713751,0.027277322,0.042718303,0.052282174,0.055404933,0.053320209,0.047391412,0.039501084,0.031661548,0.025484843,0.020981865,,,,,,
Sr1,Ktr51,0.065423356,0.033333827,0.021026263,0.022749186,0.03275112,0.04528059,0.05458612,0.056378505,0.052217635,0.045125672,0.037713693,0.030948439,0.025385569,0.021383588,0.018512397,,,,,,
Sr1,Ktr52,0,0.00705078,0.018896986,0.032822119,0.046109681,0.056043174,0.0599061,0.056076121,0.04730755,0.037448859,0.029628187,0.024092334,0.020367764,0.017946189,0.016180291,,,,,,
Sr1,Ktr53,0.02546525,0.023768952,0.027922354,0.035399152,0.043673048,0.050217739,0.052506923,0.048925017,0.041499296,0.033167754,0.026330104,0.021232941,0.017584581,0.015061709,0.013214487,,,,,,
Sr1,Ktr54,0.098196344,0.061530704,0.040936864,0.032375108,0.031805718,0.035188977,0.038485168,0.038528121,0.035645853,0.03103993,0.025807001,0.020624051,0.01606315,0.012572035,0.010101116,,,,,,
Sr1,Ktr55,0.150550146,0.087186712,0.048012955,0.02771836,0.020992411,0.022524592,0.027004387,0.030001596,0.030607291,0.028792857,0.02474452,0.019507855,0.014343273,0.010307262,0.007640607,,,,,,
Sr1,Ktr56,0.134904935,0.077573043,0.042402126,0.024452829,0.018785797,0.020461677,0.024541114,0.026937013,0.026971317,0.024818228,0.020817243,0.015969046,0.011439617,0.008200651,0.00644671,,,,,,
Sr1,Ktr57,0.083724659,0.049467323,0.030072118,0.021824605,0.021010343,0.023914893,0.026823815,0.026827566,0.024236186,0.020164613,0.015655494,0.011462325,0.008266311,0.006598144,0.006386467,,,,,,
Sr1,Ktr58,0.049494684,0.029632565,0.020169734,0.018135324,0.020558467,0.024468294,0.026893939,0.025641856,0.021627789,0.016544804,0.011878536,0.008284893,0.006212348,0.00594885,0.007140243,,,,,,
Sr1,Ktr59,0.068492009,0.036604499,0.019080772,0.012289677,0.012600065,0.016380783,0.020000682,0.020627129,0.018621572,0.015143978,0.01130932,0.00805259,0.006263785,0.00655591,0.008434002,,,,,,
Sr1,Ktr60,0.112160165,0.056009714,0.022147009,0.00560458,0.001414954,0.004610661,0.01022423,0.014145207,0.015691204,0.015036851,0.012585552,0.009655816,0.007794929,0.008138586,0.010176114,,,,,,
Sr1,Ktr61,0.135734318,0.065247517,0.02194922,0,0,0,0.003852523,0.009836561,0.013559911,0.01477052,0.013548624,0.011303609,0.009777151,0.010270168,0.012320547,,,,,,
Sr1,Ktr62,0.107847989,0.048707794,0.013580299,0,0,0,0.005235706,0.010190382,0.01270858,0.013331525,0.012681307,0.011703452,0.01142435,0.012585802,0.014791254,,,,,,
Sr1,Ktr63,0.050728119,0.018742758,0.002181631,0,0,0.00544031,0.010972778,0.01309077,0.012648755,0.011464161,0.011031876,0.011556615,0.012920554,0.014968041,0.017392129,,,,,,
Sr1,Ktr64,0,0,0,0,0.006340497,0.012293662,0.015724947,0.015270548,0.012649644,0.010352161,0.010289981,0.012062811,0.014692317,0.017361293,0.01989705,,,,,,
Sr1,Ktr65,0,0,0,0.005396458,0.010844425,0.014405736,0.015622608,0.014416092,0.012222577,0.010857283,0.011659451,0.014064392,0.017031437,0.019730418,0.022173186,,,,,,
Sr1,Ktr66,0,0,0.00722657,0.011388731,0.01313842,0.013293768,0.012672903,0.012027995,0.011847365,0.012553377,0.014400829,0.016974267,0.019690674,0.022122102,0.024460875,,,,,,
Sr1,Ktr67,0,0.010106939,0.014844368,0.015724947,0.014261332,0.011966184,0.010352161,0.010560399,0.012245943,0.014692317,0.017288834,0.01984798,0.022288029,0.024603484,0.027093748,,,,,,
Sr1,Ktr68,0.003184549,0.012401865,0.016432934,0.016803239,0.015038268,0.012663505,0.011204436,0.011783854,0.013913777,0.016703531,0.019427972,0.02202407,0.024594326,0.02727716,0.030354674,,,,,,
Sr1,Ktr69,0.001183681,0.009571051,0.014024698,0.015621754,0.015439349,0.014554615,0.014044682,0.014734522,0.016440464,0.018726677,0.021241886,0.023973049,0.026991681,0.030387555,0.034323469,,,,,,
Sr1,Ktr70,0.001531782,0.00745238,0.011395223,0.013828638,0.015220952,0.01604049,0.016755578,0.017764972,0.019189137,0.021078965,0.023484004,0.02644842,0.030015033,0.034214546,0.03902919,,,,,,
Sr1,Ktr71,0.009301818,0.010236886,0.01142041,0.01281185,0.014370663,0.01605631,0.017828248,0.019673135,0.02168642,0.023990748,0.026715721,0.030018761,0.034064245,0.038941678,0.044441076,,,,,,
Sr1,Ktr72,0.019721081,0.015528209,0.013377527,0.01291858,0.013800912,0.015674067,0.018187589,0.0210384,0.024112919,0.027344944,0.030730302,0.034512951,0.03899888,0.04436715,0.050289105,,,,,,
Sr1,Ktr73,0.025555439,0.019283137,0.015644182,0.01423583,0.014655335,0.016499955,0.019366944,0.022885519,0.026812735,0.030937611,0.035128979,0.039574945,0.044543427,0.050192823,0.056243439,,,,,,
Sr1,Ktr74,0.021833735,0.018661769,0.017030928,0.016769235,0.017704713,0.019665383,0.022479269,0.025986587,0.030076336,0.034649707,0.039613496,0.04489691,0.050434759,0.056170474,0.062081954,,,,,,
Sr1,Ktr75,0.012636686,0.015637441,0.018080104,0.020198981,0.02222838,0.024402608,0.026955972,0.03010307,0.03397966,0.038701789,0.044287632,0.050363868,0.056459299,0.062251533,0.068013379,,,,,,
Sr1,Ktr76,0.004307984,0.013386802,0.019766992,0.024123886,0.027132812,0.029469099,0.031808077,0.034743774,0.038545012,0.043399313,0.04935568,0.055909054,0.062415854,0.068437345,0.074354157,,,,,,
Sr1,Ktr77,0.00177098,0.014324509,0.022790604,0.02819458,0.031561751,0.033917431,0.036286934,0.039517605,0.043744913,0.048926358,0.054961611,0.061519027,0.06820913,0.074751122,0.08129892,,,,,,
Sr1,Ktr78,0.004267678,0.017817272,0.026744852,0.032268927,0.035608005,0.037980594,0.040605201,0.044433865,0.049352737,0.054981502,0.061008117,0.067393645,0.074167428,0.081303546,0.088555042,,,,,,
Sr1,Ktr79,0.00961974,0.022469811,0.030947377,0.0362566,0.039601647,0.042186679,0.045215862,0.049601953,0.055092074,0.061141945,0.067337568,0.073786091,0.08072495,0.088227163,0.095708086,,,,,,
Sr1,Ktr80,0.015846439,0.027148657,0.034930155,0.04017086,0.043850699,0.0469496,0.050447488,0.05510163,0.060778635,0.067122452,0.0738328,0.08083249,0.088100101,0.095485095,0.102320446,,,,,,
Sr1,Ktr81,0.021757467,0.031767571,0.039082516,0.044439318,0.048574988,0.052226542,0.056130992,0.0608941,0.066596616,0.073188038,0.080538508,0.088200745,0.095648114,0.102362747,0.107861845,,,,,,
Sr1,Ktr82,0.026360125,0.036502121,0.044008126,0.04959317,0.053972288,0.057860511,0.061972872,0.066910929,0.072822339,0.079741285,0.087539849,0.095441705,0.102508426,0.107976094,0.111778838,,,,,,
Sr1,Ktr83,0.0295138,0.041657967,0.050102041,0.055888898,0.060061411,0.063662456,0.067734909,0.073092018,0.079628533,0.087009577,0.094792762,0.102105642,0.107968262,0.111696856,0.11379243,,,,,,
Sr1,Ktr84,0.034486234,0.048061117,0.056924885,0.062484097,0.066145315,0.069315098,0.073400008,0.079410619,0.086773571,0.094519516,0.1017363,0.10774053,0.111906005,0.113919718,0.114721433,,,,,,
Sr1,Ktr85,0.04539726,0.056667672,0.063828671,0.068261649,0.071347995,0.074469101,0.079006356,0.085848322,0.093912236,0.101622509,0.107680298,0.111893765,0.114347825,0.115295106,0.11565911,,,,,,
