,Kt1,Kt2,Kt3,Kt4,Kt5,Kt6,Kt7,Kt8,Kt9,Kt10,Kt11,Kt12,Kt13,Kt14,Kt15,Kt16,Kt17,Kt18,Kt19,Kt20,Kt21,Kt22,Kt23,Kt24,Kt25,Kt26,Kt27,Kt28,Kt29,Kt30,Kt31,Kt32,Kt33,Kt34,Kt35,Kt36,Kt37,Kt38,Kt39,Kt40,Kt41,Kt42,Kt43,Kt44
Ktr12,0.012731738,0.009515637,0.007215851,0.005711866,0.004883168,0.004609243,0.004769576,0.005229233,0.005795592,0.006261609,0.006522077,0.006879136,0.007736764,0.009382437,0.011637637,0.014207346,0.022418835,0.031827427,0.04027745,0.045346843,0.047493318,0.047080354,0.042082543,0.016202564,0.007968317,0.038766617,0.11157241,0.158236029,0.552515595,0.814599491,0.850131352,0.837721161,0.80856786,0.780793495,0.732442454,0.648000362,0.507352872,0.2938848,0.221911465,0.163170541,0.089184472,0.228301632,0.074626896,0.172212963
Ktr13,0.013378784,0.009688051,0.007117448,0.005497999,0.00466073,0.004436666,0.004656834,0.005159205,0.005809545,0.006480564,0.007120671,0.007981066,0.009388643,0.011554364,0.01422545,0.017033191,0.025238916,0.035092379,0.041816852,0.046596447,0.047135019,0.047285755,0.037768944,0.013800395,0.009451994,0.044289031,0.113964643,0.181331709,0.581973589,0.816491665,0.847834553,0.835112383,0.806541807,0.777480749,0.726206966,0.639594115,0.488625958,0.28562809,0.215451171,0.15448251,0.099384559,0.215686381,0.080923708,0.200049702
Ktr14,0.010022427,0.00851182,0.007256084,0.006268533,0.005562483,0.005151248,0.005048142,0.005266413,0.005819034,0.006718912,0.007981574,0.009633023,0.011701884,0.014181513,0.016924199,0.019746958,0.028417578,0.037982874,0.042494581,0.047506878,0.04701128,0.047713557,0.032611685,0.011368645,0.01163325,0.050301189,0.11499912,0.210083035,0.608629537,0.820142894,0.848258921,0.831477009,0.804338096,0.772801934,0.719787627,0.630035593,0.469278484,0.278273304,0.210549541,0.144784272,0.113871438,0.196768718,0.090661775,0.191091858
Ktr15,0.005045692,0.006837787,0.007544593,0.0074762,0.006942697,0.006254171,0.005720711,0.00562119,0.006109606,0.007308744,0.009268366,0.011746157,0.014426783,0.017066034,0.019704211,0.022452739,0.031770296,0.040288717,0.042746269,0.048018319,0.047045231,0.047897508,0.0272786,0.009195696,0.014137305,0.056506997,0.115518073,0.2424007,0.633565686,0.825428242,0.850012612,0.827530098,0.802012708,0.767453159,0.713235446,0.619265148,0.449727074,0.271643535,0.206665114,0.134874954,0.130547724,0.174880325,0.101725822,0.159330259
Ktr16,0.001706377,0.005810623,0.007842264,0.008357369,0.007912009,0.007062252,0.00636417,0.006296465,0.007028375,0.008651773,0.011164026,0.014184482,0.017237987,0.019978811,0.022578934,0.025339761,0.03502708,0.041813025,0.043136928,0.048133144,0.047096102,0.047247483,0.022539877,0.00773318,0.016538812,0.062578226,0.116532505,0.275783317,0.658141084,0.83139204,0.850966914,0.824193781,0.799668277,0.762406102,0.706536362,0.607306343,0.430256434,0.265744505,0.202930046,0.12569952,0.146923576,0.153918926,0.111700443,0.127156174
Ktr17,0.002133869,0.006135271,0.00801052,0.008388381,0.007897622,0.007167008,0.006825307,0.007374022,0.008805594,0.010985203,0.013749684,0.016822494,0.019898748,0.022763527,0.02556178,0.028528422,0.037927952,0.042484695,0.044076312,0.047891239,0.047072874,0.045298419,0.01895121,0.007333744,0.018528966,0.06832922,0.118699939,0.308383877,0.683444602,0.837227911,0.849591095,0.822106633,0.79737475,0.758401763,0.6996756,0.594375466,0.411045935,0.260540771,0.198692369,0.117879959,0.161235586,0.136815904,0.118856906,0.112142942
Ktr18,0.00394391,0.006757754,0.007919327,0.008005462,0.007592991,0.007258746,0.007579561,0.008971065,0.011204071,0.013888188,0.01669908,0.019576621,0.022526737,0.025555059,0.028666032,0.031863802,0.040253002,0.042735751,0.045353145,0.047482537,0.047083523,0.042085496,0.01621031,0.007954105,0.020265125,0.074144603,0.12126397,0.340972889,0.709484405,0.842726629,0.846746351,0.820773001,0.795071333,0.755258435,0.692635519,0.581459706,0.391853632,0.255832238,0.194163623,0.110746351,0.174626087,0.122637267,0.124213157,0.112592182
Ktr19,0.003623833,0.006184366,0.007440789,0.007884809,0.008008135,0.008302472,0.00925953,0.011213654,0.013869751,0.01677537,0.019584109,0.022373776,0.02532823,0.028561082,0.031904937,0.03512215,0.041792333,0.043123998,0.046600893,0.04713448,0.047285773,0.037768956,0.01380039,0.009451995,0.022021188,0.080551573,0.123114714,0.37497524,0.735998481,0.847828257,0.843891862,0.819413677,0.792664546,0.752563733,0.685397764,0.569738981,0.372332247,0.251377644,0.189771223,0.103305796,0.188963849,0.109482682,0.12947381,0.121987582
Ktr20,0,0.003976605,0.006664767,0.008411233,0.009625796,0.010718246,0.012098376,0.014073645,0.016542184,0.019299792,0.022186187,0.025216773,0.028450872,0.031877133,0.035201501,0.038059246,0.042467071,0.044056706,0.047513085,0.04701413,0.047712449,0.032610517,0.011365575,0.011638875,0.024059252,0.087841061,0.123774695,0.411292075,0.762232351,0.852316482,0.842140779,0.817444513,0.790110238,0.749905426,0.677969695,0.559855787,0.352452852,0.246898711,0.185761566,0.095089432,0.205175882,0.096139075,0.135872143,0.134317145
Ktr21,0.000750518,0.003916786,0.006552165,0.008803992,0.010819603,0.012746334,0.014731521,0.016906089,0.019335325,0.022068103,0.02512483,0.028412034,0.031807776,0.035150195,0.038117757,0.040349007,0.04272243,0.045339004,0.048023512,0.047047029,0.047896765,0.027277809,0.009193617,0.014141114,0.026594205,0.095358948,0.125296078,0.448729555,0.78546168,0.855349481,0.841222145,0.815061612,0.787561572,0.746871897,0.670461538,0.55030295,0.333459915,0.24196907,0.181656972,0.087724528,0.220422165,0.084142418,0.142756074,0.14558613
